business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,business_code_enc,day_of_cleardate,month_of_cleardate,year_of_cleardate,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_due,month_of_due,year_of_due,day_of_createdate,month_of_createdate,year_of_createdate,cust_payment_terms_enc,name_customer_enc,Aging Bucket
CA02,140105686,SYSC llc,2020-04-26 14:35:17.000000000,2020.0,2960623488.0,2020-03-30 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,2309.7899999999995,65,,,,30,3,2020,10,4,2020,31,3,2020,5,2694,16-30
U001,200744019,TARG us,2020-04-08 22:23:50.781250000,2020.0,1930659387.0,2020-03-19 00:00:00.000000000,2020-04-03 00:00:00.000000000,2020-03-19 00:00:00.000000000,NAA8,11173.02,65,,,,19,3,2020,3,4,2020,19,3,2020,21,2777,0-15
U001,200418007,AM ,2020-03-23 07:34:15.312500000,2020.0,1930610806.0,2020-03-11 00:00:00.000000000,2020-03-26 00:00:00.000000000,2020-03-11 00:00:00.000000000,NAA8,3525.59,65,,,,11,3,2020,26,3,2020,11,3,2020,21,96,
U001,200739534,OK systems,2020-05-05 07:45:51.562500000,2020.0,1930788296.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,121105.65,65,,,,15,4,2020,30,4,2020,15,4,2020,21,2008,0-15
U001,200353024,DECA corporation,2020-04-22 16:59:42.906250000,2020.0,1930817482.0,2020-04-23 00:00:00.000000000,2020-04-26 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM2,3726.06,65,,,,23,4,2020,26,4,2020,16,4,2020,36,729,
U001,200744019,TARG associates,2020-04-10 19:53:30.281250000,2020.0,1930676042.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAA8,5893.01,65,,,,21,3,2020,5,4,2020,21,3,2020,21,2768,0-15
CA02,140106408,WAL-M corp,2020-04-11 06:07:15.750000000,2020.0,2960618790.0,2020-03-06 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-06 00:00:00.000000000,CA10,64982.589,65,,,,6,3,2020,16,3,2020,6,3,2020,5,2965,16-30
U001,200337148,COAS llc,2020-03-18 06:12:59.835937500,2020.0,1930592246.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,11380.83,65,,,,2,3,2020,17,3,2020,2,3,2020,21,555,0-15
U001,200794332,COST associates,2020-04-22 23:17:30.656250000,2020.0,1930731070.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAAX,3863.93,65,,,,7,4,2020,22,4,2020,7,4,2020,23,616,0-15
U001,200794332,COST llc,2020-05-07 17:40:22.986328125,2020.0,1930803605.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAAX,74453.01,65,,,,23,4,2020,8,5,2020,23,4,2020,23,622,
